N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"82,900",700,+0.85%,100,"4,948,950","5,969,783",55.58,"32,471,197",22.64,8.69,
2,SK하이닉스,"134,500","3,500",+2.67%,"5,000","979,163","728,002",50.01,"5,944,968",34.12,4.25,
3,LG화학,"962,000","72,000",+8.09%,"5,000","679,098","70,592",42.94,"702,542",89.88,1.84,
4,삼성전자우,"74,300",0,0.00%,100,"611,405","822,887",81.49,"3,810,973",20.29,N/A,
5,삼성바이오로직스,"819,000","2,000",+0.24%,"2,500","541,891","66,165",10.46,"115,903",152.49,4.77,
6,셀트리온,"357,500","4,000",+1.13%,"1,000","482,617","134,998",20.77,"942,699",96.62,11.19,
7,삼성SDI,"698,000","18,000",+2.65%,"5,000","479,976","68,765",44.29,"710,146",238.14,2.94,
8,NAVER,"289,500",500,-0.17%,100,"475,543","164,263",56.00,"1,150,949",57.63,10.56,
9,현대차,"206,000","3,000",+1.48%,"5,000","440,156","213,668",30.96,"2,467,248",49.22,4.32,
10,카카오,"402,500","7,000",+1.77%,500,"355,957","88,437",32.61,"771,350",-446.73,-5.81,
11,현대모비스,"304,500","21,000",+7.41%,"5,000","289,442","95,055",42.97,"1,399,530",18.57,7.28,
12,삼성물산,"145,000","5,500",+3.94%,100,"270,986","186,887",14.36,"1,304,706",24.29,4.77,
13,기아차,"63,000",800,+1.29%,"5,000","255,379","405,363",36.98,"3,126,734",29.28,6.50,
14,POSCO,"291,000","11,000",+3.93%,"5,000","253,714","87,187",50.64,"761,290",26.66,4.18,
15,LG생활건강,"1,609,000","19,000",+1.19%,"5,000","251,297","15,618",45.45,"38,936",36.05,20.32,
16,LG전자,"150,000","12,500",+9.09%,"5,000","245,472","163,648",35.48,"9,714,123",32.58,0.22,
17,SK이노베이션,"263,000","6,000",+2.33%,"5,000","243,184","92,466",24.29,"2,008,957",-10.00,-0.20,
18,SK텔레콤,"270,000","19,500",+7.78%,500,"218,013","80,746",34.18,"1,356,106",19.88,3.92,
19,SK,"296,000","23,000",+8.42%,200,"208,266","70,360",21.82,"1,930,668","1,248.95",4.31,
20,엔씨소프트,"947,000","6,000",-0.63%,500,"207,905","21,954",48.84,"118,021",37.06,14.72,
21,KB금융,"46,000","2,000",+4.55%,"5,000","191,272","415,808",65.43,"4,674,864",5.61,8.92,
22,LG,"107,500","10,200",+10.48%,"5,000","185,499","172,557",34.53,"3,410,046",15.20,5.87,
23,신한지주,"33,750","1,350",+4.17%,"5,000","174,328","516,527",57.33,"6,516,385",4.84,9.09,
24,한국전력,"27,050",100,-0.37%,"5,000","173,651","641,964",17.22,"5,201,290",187.85,-3.42,
25,삼성생명,"80,600","3,200",+4.13%,500,"161,200","200,000",12.02,"1,942,052",16.19,3.26,
26,삼성에스디에스,"205,000","2,000",+0.99%,500,"158,624","77,378",11.82,"639,894",30.26,11.76,
27,삼성전기,"182,000","6,000",+3.41%,"5,000","135,943","74,694",34.72,"1,005,357",37.29,10.18,
